instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
BTC,Invesco Galaxy Bitcoin ETF  (BTCO)  (CIK 0001855781),0001855781,424B3,2025-04-14T00:00:00Z,0001193125-25-080223,,,,,https://www.sec.gov/Archives/edgar/data/1855781/000119312525080223/0001193125-25-080223-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,497K,2025-04-08T00:00:00Z,0001104659-25-032722,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465925032722/0001104659-25-032722-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,497,2025-04-08T00:00:00Z,0001104659-25-032720,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465925032720/0001104659-25-032720-index.htm
BTC,FIRST TRUST EXCHANGE-TRADED FUND  (CIK 0001329377),0001329377,497K,2025-04-04T00:00:00Z,0001445546-25-002434,,,,,https://www.sec.gov/Archives/edgar/data/1329377/000144554625002434/0001445546-25-002434-index.htm
BTC,Innovator ETFs Trust  (CIK 0001415726),0001415726,497,2025-04-01T00:00:00Z,0001213900-25-026697,,,,,https://www.sec.gov/Archives/edgar/data/1415726/000121390025026697/0001213900-25-026697-index.htm
BTC,Grayscale Funds Trust  (CIK 0001976672),0001976672,497K,2025-04-01T00:00:00Z,0001999371-25-003621,,,,,https://www.sec.gov/Archives/edgar/data/1976672/000199937125003621/0001999371-25-003621-index.htm
BTC,VanEck Bitcoin ETF  (HODL)  (CIK 0001838028),0001838028,424B3,2025-03-26T00:00:00Z,0000930413-25-001001,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000093041325001001/0000930413-25-001001-index.htm
BTC,PROSHARES TRUST  (CIK 0001174610),0001174610,CORRESP,2025-03-25T00:00:00Z,0001683863-25-002457,,,,,https://www.sec.gov/Archives/edgar/data/1174610/000168386325002457/0001683863-25-002457-index.htm
BTC,iShares Bitcoin Trust ETF  (IBIT)  (CIK 0001980994),0001980994,10-K,2025-03-05T00:00:00Z,0001437749-25-006260,,,,,https://www.sec.gov/Archives/edgar/data/1980994/000143774925006260/0001437749-25-006260-index.htm
BTC,Global X Funds  (CIK 0001432353),0001432353,497K,2025-02-26T00:00:00Z,0001432353-25-000076,,,,,https://www.sec.gov/Archives/edgar/data/1432353/000143235325000076/0001432353-25-000076-index.htm
BTC,Volatility Shares Trust  (CIK 0001884021),0001884021,497K,2025-02-19T00:00:00Z,0001213900-25-015195,,,,,https://www.sec.gov/Archives/edgar/data/1884021/000121390025015195/0001213900-25-015195-index.htm
BTC,Volatility Shares Trust  (CIK 0001884021),0001884021,485BPOS,2025-02-14T00:00:00Z,0001213900-25-013722,,,,,https://www.sec.gov/Archives/edgar/data/1884021/000121390025013722/0001213900-25-013722-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2025-02-12T00:00:00Z,0001437749-25-003591,,,,,https://www.sec.gov/Archives/edgar/data/719413/000143774925003591/0001437749-25-003591-index.htm
BTC,Simplify Exchange Traded Funds  (CIK 0001810747),0001810747,497K,2025-02-06T00:00:00Z,0001829126-25-000766,,,,,https://www.sec.gov/Archives/edgar/data/1810747/000182912625000766/0001829126-25-000766-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,497K,2025-02-04T00:00:00Z,0001104659-25-009207,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465925009207/0001104659-25-009207-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,497,2025-02-04T00:00:00Z,0001104659-25-009202,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465925009202/0001104659-25-009202-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,485BPOS,2025-01-31T00:00:00Z,0001104659-25-008073,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465925008073/0001104659-25-008073-index.htm
BTC,Valkyrie ETF Trust II  (CIK 0001877493),0001877493,497K,2025-01-31T00:00:00Z,0001213900-25-008819,,,,,https://www.sec.gov/Archives/edgar/data/1877493/000121390025008819/0001213900-25-008819-index.htm
